Xt,Lemda
0.000292511,1.82E-08
0.000847652,2.29E-07
0.001176745,3.37E-07
0.002140305,3.88E-07
0.002831229,4.54E-07
0.002963721,4.59E-07
0.004351987,5.82E-07
0.00503379,9.75E-07
0.005961173,1.52E-06
0.006231134,2.70E-06
0.006445557,2.80E-06
0.007340279,3.30E-06
0.007560975,3.51E-06
0.00758027,3.62E-06
0.007740683,4.28E-06
0.007779164,4.28E-06
0.007813936,4.89E-06
0.008465778,6.30E-06
0.008676987,7.66E-06
0.009966745,1.03E-05
0.010096723,1.05E-05
0.010227774,1.18E-05
0.011299002,1.30E-05
0.011310125,1.44E-05
0.011390445,1.45E-05
0.011615231,1.47E-05
0.01167364,1.53E-05
0.011896239,1.62E-05
0.01200234,1.73E-05
0.012198325,1.83E-05
0.012490595,2.30E-05
0.012555493,2.33E-05
0.012609788,2.38E-05
0.012796123,2.51E-05
0.012968239,2.56E-05
0.012991264,2.79E-05
0.013800567,2.80E-05
0.013941122,2.91E-05
0.014058235,3.23E-05
0.01405844,3.23E-05
0.014570755,3.32E-05
0.014809331,3.38E-05
0.01567495,3.59E-05
0.016210873,3.75E-05
0.017299707,4.20E-05
0.017463985,4.24E-05
0.017612766,4.68E-05
0.017669166,4.75E-05
0.018345346,4.76E-05
0.018813331,5.02E-05
0.018833925,5.38E-05
0.018851439,5.40E-05
0.019448571,5.63E-05
0.019918436,5.69E-05
0.020768605,5.87E-05
0.020882742,5.93E-05
0.021067932,6.02E-05
0.021233619,6.06E-05
0.021941102,6.56E-05
0.022370684,6.74E-05
0.022707181,7.98E-05
0.023135268,8.16E-05
0.02340856,8.24E-05
0.023593633,8.29E-05
0.023634437,8.62E-05
0.023836387,8.79E-05
0.024000113,8.85E-05
0.024160154,9.03E-05
0.024379749,9.29E-05
0.024623208,9.44E-05
0.024642276,0.00010058
0.025202796,0.000103797
0.025316373,0.00010705
0.025535841,0.000112816
0.025622665,0.000113409
0.026151302,0.000118414
0.026191525,0.000122765
0.026329541,0.000122972
0.026347695,0.000124725
0.026519495,0.000129239
0.026676843,0.00013115
0.027360861,0.00013314
0.027365668,0.000134392
0.027566703,0.000134574
0.027647361,0.000139841
0.028056533,0.000142832
0.028072614,0.000145541
0.0280895,0.000146926
0.028221799,0.000148206
0.028302665,0.000149784
0.028624253,0.000153091
0.028797827,0.000160924
0.028980789,0.000162748
0.029048783,0.000165947
0.029500415,0.000166782
0.029807052,0.00016766
0.030776589,0.000168043
0.031193813,0.00017275
0.031487809,0.000173809
0.031493469,0.000191075
0.032126582,0.000196175
0.032876024,0.000199192
0.033093232,0.000202875
0.033963351,0.000205805
0.034757195,0.000206155
0.035356303,0.000211798
0.035812985,0.000220414
0.035842321,0.00022164
0.035928172,0.000228071
0.035949051,0.000232469
0.036535262,0.000235681
0.036670291,0.000235974
0.036682392,0.000239943
0.036683857,0.000245524
0.037037255,0.000249054
0.037331732,0.000251248
0.037795839,0.000254483
0.03789158,0.000265111
0.038002867,0.000265955
0.038361455,0.000311074
0.038682617,0.000315681
0.038693711,0.000317373
0.038973336,0.000318114
0.039063375,0.000319308
0.039521739,0.000330597
0.04003868,0.000335994
0.04101541,0.000336125
0.041232642,0.000336886
0.041482077,0.000339157
0.041599624,0.000340824
0.041642495,0.000342658
0.041660005,0.000357176
0.042413707,0.000359053
0.042433748,0.000359996
0.043104023,0.000361065
0.044263827,0.000364196
0.044310064,0.000371254
0.044749799,0.000374343
0.044815529,0.000378301
0.044957654,0.000379548
0.045447213,0.000385411
0.045522347,0.000385874
0.04579999,0.000387694
0.046524276,0.000391765
0.046761525,0.000392842
0.047209347,0.000403873
0.047389179,0.000406952
0.047776874,0.000409407
0.048515966,0.000409459
0.049523254,0.000417763
0.049910607,0.000425583
0.050171177,0.000429034
0.050202243,0.000431615
0.05044037,0.000444474
0.050610641,0.000462672
0.051297796,0.000473795
0.051301302,0.00048043
0.051371938,0.000481647
0.051446504,0.000483001
0.051627499,0.000489046
0.051748797,0.000489467
0.051969779,0.000490503
0.052924023,0.000492879
0.053331256,0.000493105
0.053688533,0.000497754
0.053729773,0.000499579
0.053786351,0.000502871
0.054093571,0.000505437
0.054290443,0.000507123
0.05459193,0.000512477
0.054643783,0.000518527
0.055683109,0.000523725
0.055744798,0.000534279
0.057131642,0.000547152
0.057493098,0.000547332
0.057529588,0.000549855
0.057557837,0.000549875
0.057607081,0.000552272
0.057953583,0.000571483
0.058017453,0.000572645
0.059407647,0.00057992
0.0599018,0.000605625
0.060365092,0.000609406
0.060970426,0.000611144
0.061418136,0.000620836
0.061638097,0.000624507
0.061777406,0.000628726
